"futime","fustat","fat"
112,1,"unsaturated"
68,1,"unsaturated"
84,1,"unsaturated"
109,1,"unsaturated"
153,1,"unsaturated"
143,1,"unsaturated"
60,1,"unsaturated"
70,1,"unsaturated"
98,1,"unsaturated"
164,1,"unsaturated"
63,1,"unsaturated"
63,1,"unsaturated"
77,1,"unsaturated"
91,1,"unsaturated"
91,1,"unsaturated"
66,1,"unsaturated"
70,1,"unsaturated"
77,1,"unsaturated"
63,1,"unsaturated"
66,1,"unsaturated"
66,1,"unsaturated"
94,1,"unsaturated"
101,1,"unsaturated"
105,1,"unsaturated"
108,1,"unsaturated"
112,1,"unsaturated"
115,1,"unsaturated"
126,1,"unsaturated"
161,1,"unsaturated"
178,1,"unsaturated"
140,1,"low"
177,1,"low"
50,1,"low"
65,1,"low"
86,1,"low"
153,1,"low"
181,1,"low"
191,1,"low"
77,1,"low"
84,1,"low"
87,1,"low"
56,1,"low"
66,1,"low"
73,1,"low"
119,1,"low"
140,0,"low"
200,0,"low"
200,0,"low"
200,0,"low"
200,0,"low"
200,0,"low"
200,0,"low"
200,0,"low"
200,0,"low"
200,0,"low"
200,0,"low"
200,0,"low"
200,0,"low"
200,0,"low"
200,0,"low"
124,1,"saturated"
58,1,"saturated"
56,1,"saturated"
68,1,"saturated"
79,1,"saturated"
89,1,"saturated"
107,1,"saturated"
86,1,"saturated"
142,1,"saturated"
111,1,"saturated"
96,1,"saturated"
142,1,"saturated"
86,1,"saturated"
75,1,"saturated"
117,1,"saturated"
98,1,"saturated"
105,1,"saturated"
126,1,"saturated"
43,1,"saturated"
46,1,"saturated"
81,1,"saturated"
133,1,"saturated"
165,1,"saturated"
170,0,"saturated"
200,0,"saturated"
200,0,"saturated"
200,0,"saturated"
200,0,"saturated"
200,0,"saturated"
200,0,"saturated"
